pattern,quality,support,pattern_delta,error_class_0,error_class_1,size_class_0,size_class_1,std_class_0,std_class_1,theta
"[{'E_1_0'}, {'N_0_1'}, {'E_1_0'}, {'N_0_1'}, {'E_1_0'}, {'E_1_0'}, {'E_1_0'}, {'S_0_1'}, {'S_0_1'}, {'S_0_1'}, {'W_1_0'}, {'S_0_1'}, {'W_1_0'}]",0.8064180051708908,71,0.5105116719331984,0.7188147878947369,0.20830311596153847,19,52,0.12647577678496127,0.11185467863891449,0.05
"[{'N_0_1'}, {'N_0_1'}, {'E_1_0'}, {'E_1_0'}, {'E_1_0'}, {'NE_1_1'}, {'E_1_0'}, {'E_1_0'}, {'E_1_0'}]",0.5717089446361285,143,0.6327582518008129,0.6982229204999999,0.06546466869918699,20,123,0.11598431001640676,0.159070647864035,0.05
"[{'NE_1_1'}, {'E_1_0'}, {'E_1_0'}, {'S_0_1'}, {'S_0_1'}, {'S_0_1'}, {'W_1_0'}, {'S_0_1'}, {'W_1_0'}, {'S_0_1'}, {'S_0_1'}, {'S_0_1'}, {'S_0_1'}, {'S_0_1'}, {'W_1_0'}, {'W_1_0'}, {'W_1_0'}]",0.43622834568823105,133,0.4037550016949151,0.17964757999999997,0.5834025816949151,74,59,0.1497516405165508,0.21514569300724942,0.05
"[{'E_1_0'}, {'E_1_0'}, {'S_0_1'}, {'S_0_1'}, {'SW_1_1'}, {'W_1_0'}, {'W_1_0'}, {'W_1_0'}, {'SW_1_1'}, {'S_0_1'}, {'S_0_1'}, {'S_0_1'}]",0.3714822124872944,67,0.4408555106803572,0.1609363080625,0.6017918187428573,32,35,0.12143776113483716,0.2545173951257354,0.05
"[{'NE_1_1'}, {'E_1_0'}, {'E_1_0'}, {'E_1_0'}, {'S_0_1'}, {'S_0_1'}, {'S_0_1'}, {'SW_1_1'}, {'W_1_0'}, {'S_0_1'}, {'S_0_1'}, {'E_1_0'}, {'SE_1_1'}, {'S_0_1'}]",0.3495989564856073,75,0.5219837582109181,0.1866869690967742,0.7086707273076923,62,13,0.16173542540018207,0.23089541562959479,0.05
"[{'S_0_1'}, {'S_0_1'}, {'E_1_0'}, {'E_1_0'}, {'E_1_0'}, {'E_1_0'}, {'E_1_0'}, {'E_1_0'}, {'E_1_0'}, {'NE_1_1'}, {'N_0_1'}, {'N_0_1'}]",0.33129212543427045,194,0.7255394400421349,0.80939693125,0.08385749120786518,16,178,0.2636167102394653,0.19400293392509022,0.05
"[{'E_1_0'}, {'N_0_1'}, {'NE_1_1'}, {'E_1_0'}, {'SE_1_1'}, {'S_0_1'}]",0.3171646294318943,118,0.26061572639496544,0.6003410280851064,0.3397253016901409,47,71,0.16406067694573567,0.1868230456749867,0.05
"[{'E_1_0'}, {'NE_1_1'}, {'E_1_0'}, {'E_1_0'}, {'E_1_0'}, {'E_1_0'}, {'SE_1_1'}, {'S_0_1'}, {'S_0_1'}, {'SW_1_1'}, {'SW_1_1'}, {'S_0_1'}, {'S_0_1'}]",0.3102871205682935,75,0.400969190367647,0.18260626088235296,0.58357545125,51,24,0.13224097105934499,0.24389871602214844,0.05
"[{'E_1_0'}, {'E_1_0'}, {'E_1_0'}, {'S_0_1'}, {'S_0_1'}, {'S_0_1'}, {'S_0_1'}, {'S_0_1'}, {'S_0_1'}, {'E_1_0'}, {'E_1_0'}, {'S_0_1'}, {'SE_1_1'}, {'S_0_1'}, {'S_0_1'}]",0.2842174552221975,71,0.44570387687719293,0.22201444412280702,0.667718321,57,14,0.20248082602155712,0.25694992244982634,0.05
"[{'E_1_0'}, {'E_1_0'}, {'E_1_0'}, {'E_1_0'}, {'S_0_1'}, {'S_0_1'}, {'S_0_1'}, {'W_1_0'}, {'SW_1_1'}, {'S_0_1'}, {'W_1_0'}, {'W_1_0'}, {'W_1_0'}]",0.26346328687687404,147,0.36338982397003583,0.1779579966346154,0.5413478206046513,104,43,0.1748098990661314,0.27035306155776734,0.05
"[{'NE_1_1'}, {'E_1_0'}, {'NE_1_1'}, {'E_1_0'}, {'E_1_0'}, {'E_1_0'}, {'E_1_0'}, {'S_0_1'}, {'S_0_1'}, {'S_0_1'}, {'S_0_1'}, {'S_0_1'}, {'S_0_1'}, {'W_1_0'}, {'W_1_0'}, {'W_1_0'}]",0.24964295016187318,64,0.3879049514330414,0.18251412797872338,0.5704190794117647,47,17,0.13819277962724236,0.2659444549125892,0.05
"[{'E_1_0'}, {'E_1_0'}, {'E_1_0'}, {'E_1_0'}, {'SW_1_1'}, {'S_0_1'}, {'W_1_0'}, {'W_1_0'}, {'W_1_0'}, {'W_1_0'}]",0.23193346834568973,127,0.4179339991948598,0.1646399103551402,0.58257390955,107,20,0.14692981205955452,0.25722176927071394,0.05
"[{'E_1_0'}, {'SW_1_1'}, {'S_0_1'}, {'W_1_0'}, {'S_0_1'}, {'S_0_1'}, {'E_1_0'}, {'SE_1_1'}, {'S_0_1'}]",0.22778420316115447,60,0.42394257166000004,0.15473873834,0.57868131,50,10,0.11801419271714275,0.2401408331860893,0.05
"[{'E_1_0'}, {'E_1_0'}, {'S_0_1'}, {'S_0_1'}, {'S_0_1'}, {'SW_1_1'}, {'S_0_1'}, {'S_0_1'}, {'S_0_1'}, {'S_0_1'}, {'S_0_1'}, {'S_0_1'}, {'SW_1_1'}, {'S_0_1'}]",0.2244004088357474,77,0.31788806066344616,0.19929458781481485,0.517182648478261,54,23,0.18594917011328413,0.25377070865099505,0.05
