pattern,quality,support,pattern_delta,error_class_0,error_class_1,size_class_0,size_class_1,std_class_0,std_class_1,dataset_size,max_gap,support_penalty,sigmoid_offset
"[{'N_0_1'}, {'N_0_1'}, {'N_0_1'}, {'E_1_0'}, {'E_1_0'}, {'E_1_0'}, {'E_1_0'}, {'E_1_0'}, {'S_0_1'}, {'S_0_1'}, {'S_0_1'}]",0.9872514914376969,87,0.6547709190399555,0.7618655820588235,0.10709466301886793,34,53,0.07281454212738854,0.12004621449120044,5262,2,0.2,2
"[{'N_0_1'}, {'E_1_0'}, {'N_0_1'}, {'E_1_0'}, {'E_1_0'}, {'E_1_0'}, {'SE_1_1'}, {'S_0_1'}, {'S_0_1'}]",0.966313671965719,126,0.5375895059925789,0.713462838979592,0.175873332987013,49,77,0.08104736935237553,0.11467230963928662,5262,2,0.2,2
"[{'N_0_1'}, {'N_0_1'}, {'N_0_1'}, {'E_1_0'}, {'E_1_0'}, {'E_1_0'}, {'S_0_1'}, {'S_0_1'}, {'S_0_1'}]",0.94933728467558,127,0.6038343742025973,0.7357204267999999,0.1318860525974026,50,77,0.11975222749515686,0.14693147977872525,5262,2,0.2,2
"[{'N_0_1'}, {'N_0_1'}, {'E_1_0'}, {'E_1_0'}, {'E_1_0'}, {'SE_1_1'}, {'S_0_1'}, {'S_0_1'}, {'SW_1_1'}, {'S_0_1'}]",0.8828546671767218,83,0.46524904628672153,0.6744259230434783,0.20917687675675672,46,37,0.1167476827235674,0.10690445115744822,5262,2,0.2,2
"[{'N_0_1'}, {'N_0_1'}, {'E_1_0'}, {'E_1_0'}, {'E_1_0'}, {'E_1_0'}, {'E_1_0'}, {'E_1_0'}, {'E_1_0'}, {'E_1_0'}]",0.506206153929865,147,0.5751712276239838,0.6557140945833334,0.08054286695934959,24,123,0.17053630305374382,0.1598286554180645,5262,2,0.2,2
"[{'E_1_0'}, {'E_1_0'}, {'E_1_0'}, {'S_0_1'}, {'S_0_1'}, {'S_0_1'}, {'W_1_0'}, {'S_0_1'}, {'W_1_0'}, {'W_1_0'}, {'S_0_1'}, {'S_0_1'}, {'S_0_1'}, {'S_0_1'}, {'S_0_1'}, {'S_0_1'}, {'S_0_1'}, {'W_1_0'}, {'W_1_0'}, {'W_1_0'}, {'W_1_0'}, {'W_1_0'}]",0.48295474611212497,96,0.4742409042107728,0.15960218236065574,0.6338430865714285,61,35,0.15007869276011124,0.22223544252043836,5262,2,0.2,2
"[{'NE_1_1'}, {'E_1_0'}, {'E_1_0'}, {'E_1_0'}, {'S_0_1'}, {'S_0_1'}, {'S_0_1'}, {'W_1_0'}, {'S_0_1'}, {'W_1_0'}, {'W_1_0'}, {'S_0_1'}, {'S_0_1'}, {'S_0_1'}, {'S_0_1'}, {'S_0_1'}, {'S_0_1'}, {'W_1_0'}]",0.4439142029590127,105,0.42382846093464055,0.17109154788888892,0.5949200088235295,54,51,0.16306527331622045,0.2194648329957901,5262,2,0.2,2
"[{'N_0_1'}, {'E_1_0'}, {'N_0_1'}, {'E_1_0'}, {'E_1_0'}, {'E_1_0'}]",0.4431195166107679,705,0.5617230381719164,0.6810037864235293,0.11928074825161292,85,620,0.16719185488141336,0.2135228637832569,5262,2,0.2,2
"[{'E_1_0'}, {'S_0_1'}, {'S_0_1'}, {'S_0_1'}, {'W_1_0'}, {'S_0_1'}, {'W_1_0'}, {'W_1_0'}, {'S_0_1'}, {'S_0_1'}, {'S_0_1'}, {'S_0_1'}, {'S_0_1'}, {'S_0_1'}, {'S_0_1'}, {'W_1_0'}, {'W_1_0'}, {'W_1_0'}]",0.43594126610372236,132,0.427581437987013,0.17354263237662337,0.6011240703636364,77,55,0.15232311685262367,0.2326918978672055,5262,2,0.2,2
"[{'N_0_1'}, {'E_1_0'}, {'N_0_1'}, {'E_1_0'}, {'NE_1_1'}, {'E_1_0'}]",0.43355318295608125,394,0.6101517324969303,0.7067992381025642,0.09664750560563382,39,355,0.15650040308311275,0.18717968944334734,5262,2,0.2,2
"[{'E_1_0'}, {'E_1_0'}, {'S_0_1'}, {'S_0_1'}, {'S_0_1'}, {'S_0_1'}, {'W_1_0'}, {'W_1_0'}, {'W_1_0'}, {'S_0_1'}, {'S_0_1'}, {'S_0_1'}, {'S_0_1'}, {'S_0_1'}, {'S_0_1'}, {'S_0_1'}, {'S_0_1'}, {'W_1_0'}, {'W_1_0'}, {'W_1_0'}, {'W_1_0'}, {'W_1_0'}]",0.428346219774016,68,0.4445433459029304,0.1711933564047619,0.6157367023076923,42,26,0.16670140049120438,0.21590116549616,5262,2,0.2,2
"[{'N_0_1'}, {'N_0_1'}, {'E_1_0'}, {'N_0_1'}, {'E_1_0'}, {'NE_1_1'}, {'E_1_0'}]",0.4265713513034942,298,0.6567870846402116,0.7517937507142857,0.09500666607407406,28,270,0.13128867455356272,0.20151035203944132,5262,2,0.2,2
"[{'N_0_1'}, {'E_1_0'}, {'N_0_1'}, {'NE_1_1'}, {'E_1_0'}, {'E_1_0'}]",0.4233301097251358,300,0.5995741128041046,0.704582898625,0.10500878582089551,32,268,0.168747305733558,0.1898451142522912,5262,2,0.2,2
"[{'N_0_1'}, {'N_0_1'}, {'E_1_0'}, {'NE_1_1'}, {'E_1_0'}, {'E_1_0'}]",0.411999006301037,594,0.5420045412078203,0.6366370192957744,0.09463247808795411,71,523,0.17035511289479555,0.19303337460560835,5262,2,0.2,2
"[{'N_0_1'}, {'E_1_0'}, {'N_0_1'}, {'N_0_1'}, {'E_1_0'}, {'E_1_0'}, {'E_1_0'}, {'E_1_0'}, {'E_1_0'}]",0.4034007457421892,126,0.7013804707146245,0.8134914336363637,0.11211096292173912,11,115,0.04398226301838488,0.19990052530879723,5262,2,0.2,2
"[{'NE_1_1'}, {'E_1_0'}, {'SE_1_1'}, {'S_0_1'}, {'S_0_1'}, {'SW_1_1'}, {'W_1_0'}, {'SW_1_1'}, {'S_0_1'}, {'S_0_1'}]",0.4002966055502846,85,0.41055512927278337,0.2030591065892857,0.6136142358620691,56,29,0.17640876715817255,0.21191764087776638,5262,2,0.2,2
"[{'N_0_1'}, {'N_0_1'}, {'E_1_0'}, {'N_0_1'}, {'E_1_0'}, {'E_1_0'}, {'E_1_0'}, {'E_1_0'}]",0.39687370785621257,335,0.6145589871609523,0.7229326297142856,0.10837364255333332,35,300,0.1920905543355679,0.21651392741331332,5262,2,0.2,2
"[{'N_0_1'}, {'N_0_1'}, {'N_0_1'}, {'E_1_0'}, {'NE_1_1'}, {'E_1_0'}, {'E_1_0'}, {'E_1_0'}, {'E_1_0'}]",0.3956134333388466,203,0.6781456355106383,0.7504028420000001,0.0722572064893617,15,188,0.06417909521898942,0.16703272906312047,5262,2,0.2,2
"[{'E_1_0'}, {'SE_1_1'}, {'S_0_1'}, {'S_0_1'}, {'SW_1_1'}, {'SW_1_1'}, {'W_1_0'}, {'S_0_1'}, {'S_0_1'}, {'S_0_1'}, {'S_0_1'}, {'S_0_1'}, {'S_0_1'}, {'W_1_0'}, {'W_1_0'}]",0.3922929244123829,87,0.44073122775000007,0.15077260391666666,0.5915038316666668,48,39,0.11799120233381677,0.2454375607014898,5262,2,0.2,2
"[{'N_0_1'}, {'N_0_1'}, {'E_1_0'}, {'E_1_0'}, {'E_1_0'}]",0.39181642009618695,1214,0.4980576287314858,0.6082185225776396,0.11016089384615385,161,1053,0.22018471412359059,0.21531879093200726,5262,2,0.2,2
"[{'E_1_0'}, {'E_1_0'}, {'N_0_1'}, {'E_1_0'}, {'NE_1_1'}, {'E_1_0'}]",0.3861732146132523,380,0.46231248747378706,0.570350788695652,0.10803830122186495,69,311,0.162941693756467,0.19256149979500745,5262,2,0.2,2
"[{'N_0_1'}, {'E_1_0'}, {'N_0_1'}, {'E_1_0'}, {'E_1_0'}]",0.3793500762262063,1017,0.5383001448967546,0.6469616150943397,0.10866147019758507,106,911,0.20629213942048077,0.21149344728062502,5262,2,0.2,2
"[{'NE_1_1'}, {'E_1_0'}, {'SE_1_1'}, {'E_1_0'}, {'S_0_1'}, {'S_0_1'}, {'W_1_0'}, {'SW_1_1'}, {'SW_1_1'}]",0.37864089232201686,74,0.43558028877777766,0.22073029172222222,0.6563105804999999,54,20,0.19926469804117966,0.22098746668099079,5262,2,0.2,2
"[{'E_1_0'}, {'E_1_0'}, {'SE_1_1'}, {'S_0_1'}, {'S_0_1'}, {'SW_1_1'}, {'W_1_0'}, {'S_0_1'}, {'S_0_1'}, {'S_0_1'}, {'S_0_1'}, {'S_0_1'}, {'S_0_1'}]",0.3766074460468663,210,0.4097900961333333,0.16301264113333333,0.5728027372666666,135,75,0.13855239855382465,0.25347419587118075,5262,2,0.2,2
"[{'N_0_1'}, {'N_0_1'}, {'E_1_0'}, {'N_0_1'}, {'E_1_0'}, {'E_1_0'}, {'E_1_0'}]",0.3764114788126923,527,0.6100525496390572,0.7267757238775508,0.11672317423849371,49,478,0.17698368534844372,0.22601041584768938,5262,2,0.2,2
"[{'N_0_1'}, {'E_1_0'}, {'E_1_0'}, {'E_1_0'}, {'E_1_0'}, {'E_1_0'}, {'E_1_0'}]",0.3726063285009538,577,0.4096637341098621,0.5493501563281249,0.1396864222182628,128,449,0.17390600292493175,0.2109919945821662,5262,2,0.2,2
"[{'E_1_0'}, {'E_1_0'}, {'E_1_0'}, {'S_0_1'}, {'S_0_1'}, {'W_1_0'}, {'S_0_1'}, {'W_1_0'}, {'S_0_1'}, {'S_0_1'}, {'S_0_1'}, {'S_0_1'}, {'S_0_1'}, {'W_1_0'}]",0.3699886838887658,286,0.3646361932171245,0.1861279552921348,0.5507641485092593,178,108,0.1709059851684461,0.23823048723248377,5262,2,0.2,2
