pattern,quality,pattern_delta,support,class_balance,p_value,corrected_p,is_sig
"[{'M_10_9'}, {'M_10_9'}, {'M_10_9'}, {'M_10_9'}, {'M_10_9'}, {'M_10_9'}, {'M_10_9'}, {'M_10_9'}, {'M_10_9'}, {'M_10_9'}, {'M_8_9'}]",0.8667654437912821,0.5318464368823138,74,"{1.0: 51, 0.0: 23}",0.000999000999000999,0.001611291933872579,True
"[{'M_13_9'}, {'M_13_9'}, {'M_13_9'}, {'M_13_9'}, {'M_1_9'}]",0.6341437181020769,0.5403780510093559,67,"{0.0: 19, 1.0: 48}",0.000999000999000999,0.001611291933872579,True
"[{'M_11_9'}, {'M_11_9'}, {'M_11_9'}, {'M_2_9'}, {'M_2_9'}, {'M_2_9'}]",0.536341746781517,0.5565136571725209,70,"{0.0: 10, 1.0: 60}",1.0,1.0,False
"[{'M_13_9'}, {'M_3_9'}, {'M_3_9'}, {'M_3_9'}, {'M_3_9'}]",0.48286929950055646,0.4796391074146543,78,"{1.0: 63, 0.0: 15}",0.000999000999000999,0.001611291933872579,True
"[{'M_14_9'}, {'M_13_9'}, {'M_13_9'}, {'M_12_9'}, {'M_12_9'}, {'M_12_9'}, {'M_12_9'}, {'M_12_9'}, {'M_12_9'}, {'M_12_9'}, {'M_12_9'}]",0.470895453852509,0.412570773054547,73,"{0.0: 53, 1.0: 20}",0.000999000999000999,0.001611291933872579,True
"[{'M_10_9'}, {'M_10_9'}, {'M_10_9'}, {'M_5_9'}]",0.46194838762644946,0.4975731178012851,83,"{1.0: 70, 0.0: 13}",1.0,1.0,False
"[{'M_5_9'}, {'M_5_9'}, {'M_5_9'}, {'M_5_9'}, {'M_5_9'}, {'M_5_9'}, {'M_5_9'}, {'M_5_9'}, {'M_5_9'}, {'M_5_9'}, {'M_5_9'}, {'M_5_9'}]",0.4374807592841156,0.40760710923329146,64,"{0.0: 21, 1.0: 43}",0.000999000999000999,0.001611291933872579,True
"[{'M_11_9'}, {'M_11_9'}, {'M_11_9'}, {'M_11_9'}, {'M_11_9'}, {'M_11_9'}, {'M_11_9'}, {'M_11_9'}, {'M_11_9'}, {'M_11_9'}, {'M_15_9'}, {'M_0_9'}]",0.4212741135197263,0.41515880637905667,61,"{1.0: 16, 0.0: 45}",0.000999000999000999,0.001611291933872579,True
"[{'M_11_9'}, {'M_11_9'}, {'M_11_9'}, {'M_11_9'}, {'M_12_9'}, {'M_12_9'}, {'M_12_9'}, {'M_12_9'}, {'M_12_9'}, {'M_12_9'}, {'M_12_9'}, {'M_12_9'}, {'M_12_9'}, {'M_12_9'}]",0.4072965536121204,0.4031514366959188,72,"{0.0: 55, 1.0: 17}",0.000999000999000999,0.001611291933872579,True
"[{'M_11_9'}, {'M_11_9'}, {'M_11_9'}, {'M_11_9'}, {'M_11_9'}, {'M_11_9'}, {'M_11_9'}, {'M_11_9'}, {'M_11_9'}, {'M_11_9'}, {'M_11_9'}, {'M_11_9'}, {'M_12_9'}, {'M_12_9'}]",0.3985848970359282,0.3895286736389002,86,"{1.0: 20, 0.0: 66}",0.000999000999000999,0.001611291933872579,True
"[{'M_12_9'}, {'M_12_9'}, {'M_12_9'}, {'M_12_9'}, {'M_12_9'}, {'M_12_9'}, {'M_12_9'}, {'M_12_9'}, {'M_12_9'}, {'M_12_9'}, {'M_12_9'}, {'M_12_9'}, {'M_12_9'}, {'M_12_9'}, {'M_12_9'}, {'M_14_9'}]",0.3969423663007913,0.4560467040831489,66,"{1.0: 10, 0.0: 56}",1.0,1.0,False
"[{'M_11_9'}, {'M_12_9'}, {'M_12_9'}, {'M_2_9'}]",0.39568814828011967,0.3697987618403775,64,"{0.0: 14, 1.0: 50}",1.0,1.0,False
"[{'M_1_9'}, {'M_1_9'}, {'M_1_9'}, {'M_2_9'}, {'M_2_9'}, {'M_2_9'}, {'M_2_9'}, {'M_2_9'}, {'M_2_9'}, {'M_2_9'}]",0.39353440537890205,0.44107969342845177,85,"{1.0: 63, 0.0: 22}",0.000999000999000999,0.001611291933872579,True
"[{'M_12_9'}, {'M_12_9'}, {'M_12_9'}, {'M_12_9'}, {'M_12_9'}, {'M_12_9'}, {'M_12_9'}, {'M_12_9'}, {'M_12_9'}, {'M_12_9'}, {'M_12_9'}, {'M_12_9'}, {'M_12_9'}, {'M_0_9'}, {'M_0_9'}, {'M_0_9'}, {'M_0_9'}]",0.36228405649989864,0.44424215971287023,69,"{0.0: 59, 1.0: 10}",1.0,1.0,False
"[{'M_13_9'}, {'M_13_9'}, {'M_13_9'}, {'M_13_9'}, {'M_13_9'}, {'M_13_9'}, {'M_13_9'}, {'M_15_9'}]",0.33774421397185,0.36301615190223546,69,"{0.0: 18, 1.0: 51}",0.000999000999000999,0.001611291933872579,True
"[{'M_13_9'}, {'M_13_9'}, {'M_13_9'}, {'M_14_9'}, {'M_14_9'}, {'M_14_9'}, {'M_14_9'}, {'M_14_9'}]",0.32783806433665974,0.43567694173831695,94,"{1.0: 75, 0.0: 19}",0.000999000999000999,0.001611291933872579,True
"[{'M_2_9'}, {'M_1_9'}, {'M_13_9'}, {'M_13_9'}]",0.31804284579660885,0.45865560074647266,60,"{1.0: 48, 0.0: 12}",1.0,1.0,False
"[{'M_9_9'}, {'M_9_9'}, {'M_9_9'}, {'M_9_9'}, {'M_10_9'}, {'M_10_9'}, {'M_10_9'}, {'M_10_9'}, {'M_10_9'}, {'M_10_9'}]",0.31329538564505843,0.42040791878742834,90,"{1.0: 70, 0.0: 20}",0.000999000999000999,0.001611291933872579,True
"[{'M_12_9'}, {'M_13_9'}, {'M_2_9'}]",0.3033709214655488,0.355828852503412,122,"{1.0: 92, 0.0: 30}",0.000999000999000999,0.001611291933872579,True
"[{'M_2_9'}, {'M_2_9'}, {'M_2_9'}, {'M_2_9'}, {'M_2_9'}, {'M_2_9'}, {'M_2_9'}, {'M_2_9'}, {'M_2_9'}, {'M_2_9'}, {'M_2_9'}, {'M_2_9'}, {'M_2_9'}, {'M_2_9'}, {'M_2_9'}]",0.3029429993818053,0.37918314439414436,83,"{1.0: 53, 0.0: 30}",0.000999000999000999,0.001611291933872579,True
"[{'M_12_9'}, {'M_12_9'}, {'M_12_9'}, {'M_12_9'}, {'M_3_9'}, {'M_3_9'}]",0.2837761024613679,0.46424839749675373,68,"{1.0: 58, 0.0: 10}",1.0,1.0,False
"[{'M_12_9'}, {'M_13_9'}, {'M_14_9'}, {'M_3_9'}]",0.2720777063610401,0.3664060887680324,62,"{0.0: 13, 1.0: 49}",1.0,1.0,False
"[{'M_4_9'}, {'M_4_9'}, {'M_4_9'}, {'M_4_9'}, {'M_4_9'}, {'M_4_9'}, {'M_4_9'}, {'M_5_9'}, {'M_7_9'}]",0.26146639869315225,0.32900457946717543,86,"{0.0: 68, 1.0: 18}",0.000999000999000999,0.001611291933872579,True
"[{'M_10_9'}, {'M_10_9'}, {'M_10_9'}, {'M_8_9'}, {'M_8_9'}, {'M_6_9'}]",0.2557196223116433,0.37309012355028426,80,"{1.0: 67, 0.0: 13}",1.0,1.0,False
"[{'M_1_9'}, {'M_12_9'}, {'M_12_3'}]",0.25519788555868644,0.43922427670108255,83,"{1.0: 72, 0.0: 11}",1.0,1.0,False
"[{'M_13_9'}, {'M_13_9'}, {'M_14_9'}, {'M_2_9'}]",0.2513295950961368,0.4272459291750654,78,"{1.0: 67, 0.0: 11}",1.0,1.0,False
"[{'M_2_9'}, {'M_0_9'}, {'M_0_9'}, {'M_12_9'}]",0.24909681369858871,0.45586025173592776,85,"{1.0: 72, 0.0: 13}",1.0,1.0,False
"[{'M_7_9'}, {'M_5_9'}, {'M_5_9'}, {'M_5_9'}, {'M_6_9'}]",0.24796545871259512,0.42306844569742685,60,"{0.0: 10, 1.0: 50}",1.0,1.0,False
"[{'M_2_9'}, {'M_1_9'}, {'M_1_9'}, {'M_1_9'}, {'M_1_9'}, {'M_1_9'}, {'M_1_9'}, {'M_2_9'}]",0.2477736797871739,0.3160469672953089,62,"{1.0: 42, 0.0: 20}",0.000999000999000999,0.001611291933872579,True
"[{'M_11_9'}, {'M_11_9'}, {'M_11_9'}, {'M_11_9'}, {'M_11_9'}, {'M_11_9'}, {'M_11_9'}, {'M_11_9'}, {'M_11_9'}, {'M_11_9'}, {'M_11_9'}, {'M_11_9'}, {'M_11_7'}]",0.2460229889023884,0.33862683788504244,67,"{1.0: 14, 0.0: 53}",1.0,1.0,False
"[{'M_12_9'}, {'M_12_9'}, {'M_12_9'}, {'M_12_9'}, {'M_12_9'}, {'M_12_9'}, {'M_12_9'}, {'M_11_9'}, {'M_11_9'}, {'M_11_9'}, {'M_11_9'}, {'M_11_9'}, {'M_11_9'}]",0.24457873056920665,0.35183585677054025,90,"{0.0: 77, 1.0: 13}",1.0,1.0,False
"[{'M_14_9'}, {'M_14_9'}, {'M_13_9'}, {'M_13_9'}, {'M_12_9'}, {'M_12_9'}, {'M_11_9'}]",0.23927855911030818,0.3106826146106555,64,"{0.0: 51, 1.0: 13}",1.0,1.0,False
"[{'M_13_9'}, {'M_13_0'}, {'M_13_9'}, {'M_13_9'}, {'M_13_9'}]",0.23868028863196725,0.31959186568856235,60,"{1.0: 40, 0.0: 20}",0.000999000999000999,0.001611291933872579,True
"[{'M_11_9'}, {'M_11_9'}, {'M_11_9'}, {'M_11_9'}, {'M_11_9'}, {'M_11_9'}, {'M_11_9'}, {'M_11_9'}, {'M_11_9'}, {'M_11_9'}, {'M_11_9'}, {'M_11_9'}, {'M_11_9'}, {'M_11_9'}, {'M_11_9'}, {'M_11_9'}, {'M_11_9'}, {'M_11_9'}]",0.2350692257999111,0.41120854434449683,113,"{0.0: 101, 1.0: 12}",1.0,1.0,False
"[{'M_3_9'}, {'M_3_9'}, {'M_3_9'}, {'M_4_9'}, {'M_4_9'}, {'M_4_9'}, {'M_6_9'}, {'M_7_9'}]",0.23477315609460506,0.3795668479224499,71,"{1.0: 11, 0.0: 60}",1.0,1.0,False
"[{'M_2_9'}, {'M_2_9'}, {'M_12_9'}, {'M_3_9'}]",0.23392975531617483,0.31952966407618744,76,"{0.0: 10, 1.0: 66}",1.0,1.0,False
"[{'M_11_9'}, {'M_11_9'}, {'M_11_9'}, {'M_11_9'}, {'M_11_9'}, {'M_11_9'}, {'M_11_9'}, {'M_13_9'}, {'M_13_9'}]",0.2339091265818075,0.19742915753084114,62,"{0.0: 36, 1.0: 26}",0.000999000999000999,0.001611291933872579,True
"[{'M_8_9'}, {'M_8_4'}, {'M_6_9'}, {'M_5_9'}]",0.23204854266491245,0.29436196549554544,65,"{1.0: 42, 0.0: 23}",0.000999000999000999,0.001611291933872579,True
"[{'M_1_0'}, {'M_13_9'}]",0.2313298267207648,0.34456827768912685,63,"{0.0: 13, 1.0: 50}",1.0,1.0,False
"[{'M_15_9'}, {'M_13_9'}, {'M_12_9'}, {'M_12_9'}, {'M_11_9'}, {'M_11_9'}]",0.23109666660759925,0.2676846451504761,74,"{0.0: 51, 1.0: 23}",0.000999000999000999,0.001611291933872579,True
"[{'M_11_9'}, {'M_11_9'}, {'M_11_9'}, {'M_11_9'}, {'M_11_9'}, {'M_11_9'}, {'M_11_9'}, {'M_11_3'}, {'M_11_9'}]",0.22758867627762305,0.2446108246371321,65,"{0.0: 46, 1.0: 19}",0.000999000999000999,0.001611291933872579,True
"[{'M_14_9'}, {'M_14_9'}, {'M_3_9'}, {'M_3_9'}]",0.22738414119100925,0.3201684481639793,84,"{1.0: 69, 0.0: 15}",0.000999000999000999,0.001611291933872579,True
"[{'M_13_9'}, {'M_13_9'}, {'M_13_8'}, {'M_14_9'}]",0.22566659898413594,0.3053307226817278,73,"{1.0: 54, 0.0: 19}",0.001998001998001998,0.0028956550695681134,True
"[{'M_11_9'}, {'M_11_9'}, {'M_11_9'}, {'M_12_9'}, {'M_12_9'}, {'M_12_9'}, {'M_0_9'}]",0.22522559982676285,0.256892166564777,80,"{1.0: 26, 0.0: 54}",0.000999000999000999,0.001611291933872579,True
"[{'M_10_9'}, {'M_10_9'}, {'M_10_9'}, {'M_10_9'}, {'M_10_9'}, {'M_10_9'}, {'M_10_4'}]",0.22507934826966433,0.28108810721120486,94,"{1.0: 64, 0.0: 30}",0.000999000999000999,0.001611291933872579,True
"[{'M_14_9'}, {'M_1_9'}, {'M_2_9'}, {'M_2_9'}, {'M_2_9'}]",0.22047403191626677,0.31792756679957196,84,"{0.0: 25, 1.0: 59}",0.000999000999000999,0.001611291933872579,True
"[{'M_11_9'}, {'M_11_9'}, {'M_12_9'}, {'M_12_9'}, {'M_12_9'}, {'M_12_9'}, {'M_12_9'}, {'M_14_9'}, {'M_15_9'}, {'M_15_9'}]",0.21388619918083704,0.23423502876985453,61,"{0.0: 37, 1.0: 24}",0.000999000999000999,0.001611291933872579,True
"[{'M_15_9'}, {'M_15_9'}, {'M_12_9'}, {'M_12_9'}, {'M_12_9'}, {'M_12_9'}, {'M_12_9'}, {'M_12_9'}, {'M_12_9'}, {'M_12_9'}, {'M_12_9'}]",0.21311689418966187,0.2896686984157121,72,"{0.0: 54, 1.0: 18}",0.000999000999000999,0.001611291933872579,True
"[{'M_14_9'}, {'M_14_9'}, {'M_14_9'}, {'M_8_9'}, {'M_8_9'}]",0.21300590127169822,0.32941730342367115,62,"{1.0: 45, 0.0: 17}",0.000999000999000999,0.001611291933872579,True
"[{'M_10_9'}, {'M_10_9'}, {'M_10_9'}, {'M_10_9'}, {'M_10_9'}, {'M_10_9'}, {'M_10_5'}]",0.21277712307039334,0.26776609522569667,79,"{1.0: 51, 0.0: 28}",0.000999000999000999,0.001611291933872579,True
"[{'M_10_9'}, {'M_10_9'}, {'M_10_9'}, {'M_10_9'}, {'M_9_9'}, {'M_8_9'}, {'M_8_9'}, {'M_8_9'}, {'M_8_9'}]",0.21143576131157035,0.32169344872883326,75,"{1.0: 62, 0.0: 13}",1.0,1.0,False
"[{'M_8_9'}, {'M_8_9'}, {'M_8_9'}, {'M_9_9'}, {'M_10_9'}, {'M_11_9'}, {'M_11_9'}, {'M_11_9'}]",0.21139399214911478,0.25028198996248346,80,"{0.0: 48, 1.0: 32}",0.000999000999000999,0.001611291933872579,True
"[{'M_10_9'}, {'M_10_9'}, {'M_10_9'}, {'M_10_9'}, {'M_10_9'}, {'M_10_9'}, {'M_10_9'}, {'M_10_3'}]",0.21046721012034933,0.2750448100934637,72,"{0.0: 25, 1.0: 47}",0.001998001998001998,0.0028956550695681134,True
"[{'M_7_9'}, {'M_6_9'}, {'M_6_9'}, {'M_5_9'}, {'M_5_9'}, {'M_4_9'}, {'M_4_9'}, {'M_4_9'}, {'M_4_9'}]",0.21001291406924733,0.28874532743730646,72,"{1.0: 55, 0.0: 17}",0.000999000999000999,0.001611291933872579,True
"[{'M_11_9'}, {'M_11_9'}, {'M_11_9'}, {'M_11_9'}, {'M_11_9'}, {'M_11_9'}, {'M_11_9'}, {'M_11_9'}, {'M_11_9'}, {'M_11_9'}, {'M_11_9'}, {'M_11_9'}, {'M_9_9'}, {'M_9_9'}]",0.20989978085857366,0.2814367350444875,60,"{0.0: 44, 1.0: 16}",0.000999000999000999,0.001611291933872579,True
"[{'M_8_9'}, {'M_8_9'}, {'M_8_9'}, {'M_8_9'}, {'M_8_9'}, {'M_6_9'}, {'M_5_9'}, {'M_5_9'}]",0.2072590467368003,0.3459986938183666,74,"{1.0: 62, 0.0: 12}",1.0,1.0,False
"[{'M_11_9'}, {'M_11_9'}, {'M_11_9'}, {'M_11_9'}, {'M_11_9'}, {'M_12_9'}, {'M_15_9'}, {'M_15_9'}, {'M_15_9'}, {'M_15_9'}, {'M_15_9'}, {'M_0_9'}]",0.20701350924930098,0.1738159778687331,61,"{0.0: 37, 1.0: 24}",0.000999000999000999,0.001611291933872579,True
"[{'M_11_9'}, {'M_11_9'}, {'M_11_9'}, {'M_11_9'}, {'M_12_9'}, {'M_12_9'}, {'M_12_9'}, {'M_12_8'}]",0.206004056864421,0.2546284924515269,64,"{1.0: 20, 0.0: 44}",0.000999000999000999,0.001611291933872579,True
"[{'M_2_9'}, {'M_3_9'}, {'M_11_9'}]",0.20436599411951162,0.3391574521313656,104,"{1.0: 91, 0.0: 13}",1.0,1.0,False
"[{'M_9_9'}, {'M_10_9'}, {'M_10_9'}, {'M_10_9'}, {'M_10_0'}]",0.2020749841557396,0.2675127779854642,87,"{1.0: 56, 0.0: 31}",0.000999000999000999,0.001611291933872579,True
"[{'M_8_9'}, {'M_8_9'}, {'M_8_9'}, {'M_8_9'}, {'M_8_9'}, {'M_8_9'}, {'M_11_9'}, {'M_11_9'}, {'M_11_9'}]",0.2020732035010067,0.31238831955681934,63,"{0.0: 47, 1.0: 16}",0.000999000999000999,0.001611291933872579,True
"[{'M_13_9'}, {'M_13_5'}, {'M_12_9'}, {'M_12_9'}, {'M_12_9'}, {'M_12_9'}]",0.20179480100933989,0.22105047134556116,73,"{0.0: 39, 1.0: 34}",0.000999000999000999,0.001611291933872579,True
"[{'M_12_9'}, {'M_2_9'}, {'M_2_2'}]",0.20163781348351453,0.36746601917336696,132,"{1.0: 118, 0.0: 14}",1.0,1.0,False
"[{'M_11_9'}, {'M_12_9'}, {'M_12_9'}, {'M_12_9'}, {'M_12_9'}, {'M_12_9'}, {'M_12_9'}, {'M_12_9'}, {'M_12_2'}]",0.20155845133835504,0.24278782053900083,64,"{1.0: 18, 0.0: 46}",0.000999000999000999,0.001611291933872579,True
