pattern,quality,support,pattern_delta,error_class_0,error_class_1,size_class_0,size_class_1,std_class_0,std_class_1,theta
"[{'N_0_1'}, {'N_0_1'}, {'E_1_0'}, {'N_0_1'}, {'E_1_0'}, {'E_1_0'}, {'E_1_0'}, {'SE_1_1'}]",0.9956558456520624,96,0.6794740850241545,0.7688255944444443,0.08935150942028984,27,69,0.04837532718326399,0.09328650203414328,0.05
"[{'NE_1_1'}, {'E_1_0'}, {'S_0_1'}, {'S_0_1'}, {'SW_1_1'}, {'W_1_0'}, {'S_0_1'}, {'S_0_1'}]",0.4311317835614033,280,0.4437831244572324,0.16643138476354685,0.6102145092207792,203,77,0.1373275255590617,0.23724625161058852,0.05
"[{'E_1_0'}, {'NE_1_1'}, {'E_1_0'}, {'SE_1_1'}, {'S_0_1'}, {'S_0_1'}, {'S_0_1'}, {'S_0_1'}, {'SW_1_1'}, {'S_0_1'}, {'W_1_0'}, {'SW_1_1'}]",0.41559831962369415,66,0.4675173549100146,0.17974247432075469,0.6472598292307693,53,13,0.14116365339366424,0.16578572796658092,0.05
"[{'E_1_0'}, {'E_1_0'}, {'SE_1_1'}, {'SE_1_1'}, {'S_0_1'}, {'SW_1_1'}, {'S_0_1'}, {'S_0_1'}, {'S_0_1'}, {'S_0_1'}, {'S_0_1'}, {'S_0_1'}, {'S_0_1'}]",0.39951888283814146,73,0.4540517729302721,0.20374593765306126,0.6577977105833334,49,24,0.18399185818286098,0.24354317533537198,0.05
"[{'E_1_0'}, {'E_1_0'}, {'N_0_1'}, {'NE_1_1'}, {'E_1_0'}, {'E_1_0'}, {'E_1_0'}]",0.37613774176392345,162,0.4519916919209559,0.5906487267647059,0.13865703484375,34,128,0.1603631125260034,0.19232123453837244,0.05
"[{'E_1_0'}, {'E_1_0'}, {'E_1_0'}, {'E_1_0'}, {'S_0_1'}, {'S_0_1'}, {'W_1_0'}, {'S_0_1'}, {'W_1_0'}, {'W_1_0'}, {'W_1_0'}, {'W_1_0'}, {'S_0_1'}, {'S_0_1'}, {'S_0_1'}, {'S_0_1'}, {'S_0_1'}, {'W_1_0'}, {'W_1_0'}]",0.3744205822321994,96,0.44112381160056924,0.1544531036935484,0.5955769152941176,62,34,0.12918006797522413,0.24558060074297233,0.05
"[{'E_1_0'}, {'E_1_0'}, {'E_1_0'}, {'E_1_0'}, {'E_1_0'}, {'S_0_1'}, {'S_0_1'}, {'SW_1_1'}, {'SW_1_1'}, {'W_1_0'}, {'W_1_0'}, {'S_0_1'}, {'S_0_1'}, {'S_0_1'}, {'S_0_1'}, {'S_0_1'}, {'S_0_1'}, {'W_1_0'}]",0.359161259827949,60,0.43117780344,0.134070181,0.56524798444,35,25,0.10637042648710471,0.22753955454130434,0.05
"[{'E_1_0'}, {'NE_1_1'}, {'E_1_0'}, {'E_1_0'}, {'E_1_0'}, {'E_1_0'}, {'E_1_0'}, {'E_1_0'}, {'E_1_0'}, {'S_0_1'}, {'S_0_1'}, {'W_1_0'}, {'W_1_0'}, {'S_0_1'}]",0.35188459607328654,83,0.42524873194999996,0.20031277804999997,0.6255615099999999,60,23,0.16231277899351335,0.2290125681030218,0.05
"[{'NE_1_1'}, {'E_1_0'}, {'E_1_0'}, {'E_1_0'}, {'E_1_0'}, {'E_1_0'}, {'S_0_1'}, {'S_0_1'}, {'S_0_1'}, {'SW_1_1'}, {'S_0_1'}, {'E_1_0'}, {'S_0_1'}]",0.3389489879093825,79,0.4426129291354167,0.19626007553125002,0.6388730046666667,64,15,0.1766312774265469,0.1939659574742285,0.05
"[{'E_1_0'}, {'E_1_0'}, {'E_1_0'}, {'S_0_1'}, {'S_0_1'}, {'S_0_1'}, {'W_1_0'}, {'S_0_1'}, {'S_0_1'}, {'S_0_1'}, {'S_0_1'}, {'SE_1_1'}, {'S_0_1'}, {'S_0_1'}, {'S_0_1'}, {'S_0_1'}, {'W_1_0'}, {'W_1_0'}]",0.3140791035995271,91,0.3720063616089745,0.19436375659615382,0.5663701182051283,52,39,0.18292623869793284,0.25126038629066083,0.05
"[{'S_0_1'}, {'S_0_1'}, {'E_1_0'}, {'E_1_0'}, {'E_1_0'}, {'E_1_0'}, {'E_1_0'}, {'E_1_0'}, {'NE_1_1'}, {'E_1_0'}, {'N_0_1'}]",0.3021799141740565,137,0.7294149852125985,0.8189507410000001,0.08953575578740158,10,127,0.25053469745416823,0.20630639641443066,0.05
"[{'E_1_0'}, {'E_1_0'}, {'E_1_0'}, {'E_1_0'}, {'E_1_0'}, {'SE_1_1'}, {'SW_1_1'}, {'S_0_1'}, {'W_1_0'}, {'SW_1_1'}, {'S_0_1'}]",0.2949608853276839,87,0.46625566687835823,0.19856936267164177,0.66482502955,67,20,0.1894959502117445,0.2970261744454412,0.05
"[{'N_0_1'}, {'NE_1_1'}, {'NE_1_1'}, {'E_1_0'}, {'E_1_0'}, {'SE_1_1'}, {'E_1_0'}, {'S_0_1'}]",0.2778320153126997,63,0.33973073216216215,0.5323966,0.19266586783783785,26,37,0.1525464693601202,0.21231575037797737,0.05
"[{'E_1_0'}, {'E_1_0'}, {'E_1_0'}, {'S_0_1'}, {'S_0_1'}, {'S_0_1'}, {'W_1_0'}, {'W_1_0'}, {'SW_1_1'}, {'S_0_1'}, {'S_0_1'}, {'S_0_1'}, {'S_0_1'}, {'S_0_1'}, {'W_1_0'}, {'SW_1_1'}]",0.271052346287026,76,0.3668487274646063,0.13661957371186442,0.5034683011764707,59,17,0.08126116330634799,0.17578745921463906,0.05
"[{'E_1_0'}, {'NE_1_1'}, {'NE_1_1'}, {'E_1_0'}, {'E_1_0'}, {'S_0_1'}, {'S_0_1'}, {'S_0_1'}, {'S_0_1'}, {'S_0_1'}, {'S_0_1'}, {'S_0_1'}, {'W_1_0'}, {'W_1_0'}]",0.25196089023961904,64,0.27061170174509797,0.25201174158823536,0.5226234433333333,34,30,0.18215504720311468,0.20902645703616082,0.05
"[{'E_1_0'}, {'E_1_0'}, {'E_1_0'}, {'S_0_1'}, {'S_0_1'}, {'SW_1_1'}, {'W_1_0'}, {'S_0_1'}, {'S_0_1'}, {'W_1_0'}, {'W_1_0'}, {'W_1_0'}, {'W_1_0'}, {'W_1_0'}]",0.2383104756153205,91,0.37687326442380964,0.15706414795714285,0.5339374123809525,70,21,0.11798644920632397,0.2490022860966761,0.05
"[{'SE_1_1'}, {'S_0_1'}, {'S_0_1'}, {'S_0_1'}, {'S_0_1'}, {'W_1_0'}, {'W_1_0'}, {'S_0_1'}, {'W_1_0'}, {'S_0_1'}, {'W_1_0'}, {'W_1_0'}, {'W_1_0'}]",0.21955453751127593,93,0.3095605329454546,0.19662657360000005,0.5061871065454546,60,33,0.1910569216068758,0.2832179384058442,0.05
"[{'E_1_0'}, {'E_1_0'}, {'SE_1_1'}, {'S_0_1'}, {'S_0_1'}, {'S_0_1'}, {'W_1_0'}, {'SW_1_1'}, {'SW_1_1'}, {'SW_1_1'}]",0.21673941860940202,94,0.33121622391558436,0.1790677727272727,0.5102839966428571,66,28,0.1814937243618038,0.2868243502079403,0.05
"[{'E_1_0'}, {'SE_1_1'}, {'S_0_1'}, {'S_0_1'}, {'S_0_1'}, {'S_0_1'}, {'E_1_0'}, {'SE_1_1'}, {'S_0_1'}, {'S_0_1'}, {'S_0_1'}, {'S_0_1'}, {'S_0_1'}]",0.21104246560578843,141,0.35268770709832786,0.19667961074782606,0.5493673178461539,115,26,0.17289607329211312,0.274852101799663,0.05
"[{'E_1_0'}, {'E_1_0'}, {'E_1_0'}, {'E_1_0'}, {'E_1_0'}, {'S_0_1'}, {'S_0_1'}, {'S_0_1'}, {'W_1_0'}, {'S_0_1'}, {'S_0_1'}, {'SW_1_1'}, {'W_1_0'}, {'W_1_0'}, {'W_1_0'}, {'W_1_0'}]",0.20505823636238746,80,0.3484460478769229,0.18602603812307691,0.5344720859999998,65,15,0.1820406066074364,0.25048704428720936,0.05
"[{'S_0_1'}, {'W_1_0'}, {'W_1_0'}, {'E_1_0'}, {'S_0_1'}, {'S_0_1'}, {'S_0_1'}, {'S_0_1'}, {'W_1_0'}, {'W_1_0'}, {'W_1_0'}, {'W_1_0'}, {'W_1_0'}, {'W_1_0'}, {'W_1_0'}]",0.20033292180558257,168,0.47874913237866007,0.17756977992903228,0.6563189123076923,155,13,0.14349767024498242,0.25312818882132215,0.05
"[{'E_1_0'}, {'E_1_0'}, {'S_0_1'}, {'S_0_1'}, {'W_1_0'}, {'SW_1_1'}, {'W_1_0'}, {'W_1_0'}, {'SW_1_1'}, {'S_0_1'}, {'S_0_1'}]",0.19829486060401202,87,0.29584464142307687,0.1605405180769231,0.45638515949999997,39,48,0.14602537131633953,0.30536281643610114,0.05
"[{'S_0_1'}, {'S_0_1'}, {'W_1_0'}, {'SE_1_1'}, {'S_0_1'}, {'S_0_1'}, {'S_0_1'}, {'S_0_1'}, {'S_0_1'}, {'W_1_0'}, {'W_1_0'}, {'W_1_0'}, {'W_1_0'}, {'NW_1_1'}]",0.1958274714126923,69,0.3519889998938679,0.17408930198113207,0.5260783018749999,53,16,0.17580765546417462,0.30904076960159477,0.05
"[{'E_1_0'}, {'S_0_1'}, {'S_0_1'}, {'S_0_1'}, {'SW_1_1'}, {'SW_1_1'}, {'S_0_1'}, {'W_1_0'}, {'W_1_0'}, {'W_1_0'}, {'SW_1_1'}]",0.17786245008664514,65,0.33944809122012576,0.19052623011320755,0.5299743213333333,53,12,0.16838296969117775,0.3146303458552563,0.05
"[{'E_1_0'}, {'E_1_0'}, {'E_1_0'}, {'E_1_0'}, {'E_1_0'}, {'S_0_1'}, {'SW_1_1'}, {'S_0_1'}, {'S_0_1'}, {'S_0_1'}, {'E_1_0'}, {'E_1_0'}, {'E_1_0'}, {'S_0_1'}, {'S_0_1'}, {'S_0_1'}, {'S_0_1'}, {'W_1_0'}, {'W_1_0'}, {'W_1_0'}]",0.1733346148327894,66,0.2925356195999999,0.21378679312727272,0.5063224127272726,55,11,0.20503435729293623,0.2534778542860614,0.05
"[{'E_1_0'}, {'E_1_0'}, {'S_0_1'}, {'E_1_0'}, {'S_0_1'}, {'S_0_1'}, {'S_0_1'}, {'S_0_1'}, {'S_0_1'}, {'S_0_1'}, {'SW_1_1'}, {'SW_1_1'}]",0.17164750400721032,95,0.3156051223196203,0.22713351743037974,0.54273863975,79,16,0.2266593758933904,0.33332591739719214,0.05
"[{'E_1_0'}, {'N_0_1'}, {'E_1_0'}, {'N_0_1'}, {'N_0_1'}, {'NW_1_1'}, {'N_0_1'}, {'N_0_1'}, {'N_0_1'}]",0.17134470216683062,125,0.431335379690367,0.50706139125,0.07572601155963303,16,109,0.323719672836988,0.16767958390696142,0.05
"[{'E_1_0'}, {'N_0_1'}, {'NE_1_1'}, {'N_0_1'}, {'N_0_1'}, {'N_0_1'}, {'N_0_1'}, {'NW_1_1'}, {'W_1_0'}]",0.16449435975687102,166,0.46427924140618104,0.5113354873333333,0.04705624592715232,15,151,0.31145750401812117,0.13325588660939752,0.05
"[{'NE_1_1'}, {'NE_1_1'}, {'N_0_1'}, {'N_0_1'}, {'NE_1_1'}]",0.16119990654092198,208,0.43793662377053755,0.5122472073684211,0.07431058359788359,19,189,0.3327312502366288,0.17280700131036938,0.05
"[{'S_0_1'}, {'SE_1_1'}, {'S_0_1'}, {'SE_1_1'}, {'S_0_1'}, {'S_0_1'}, {'S_0_1'}, {'S_0_1'}, {'S_0_1'}, {'SW_1_1'}, {'S_0_1'}]",0.16096609817247556,63,0.10031082021538464,0.11630547461538464,0.015994654400000002,13,50,0.02312757280774771,0.03453885631350947,0.05
"[{'E_1_0'}, {'E_1_0'}, {'SE_1_1'}, {'E_1_0'}, {'SE_1_1'}, {'S_0_1'}, {'S_0_1'}, {'S_0_1'}, {'S_0_1'}, {'W_1_0'}, {'S_0_1'}, {'W_1_0'}]",0.15738899952576318,115,0.19685320890399377,0.21308141754761906,0.4099346264516128,84,31,0.19907083699804926,0.2763241362131441,0.05
"[{'E_1_0'}, {'E_1_0'}, {'E_1_0'}, {'E_1_0'}, {'SE_1_1'}, {'S_0_1'}, {'S_0_1'}, {'W_1_0'}, {'W_1_0'}, {'W_1_0'}, {'W_1_0'}, {'SE_1_1'}]",0.15222661725866343,76,0.2726984466212121,0.1775434603787879,0.450241907,66,10,0.16425275705929554,0.2650515249193561,0.05
"[{'E_1_0'}, {'SE_1_1'}, {'E_1_0'}, {'S_0_1'}, {'S_0_1'}, {'S_0_1'}, {'SW_1_1'}, {'S_0_1'}, {'E_1_0'}, {'E_1_0'}, {'E_1_0'}, {'E_1_0'}]",0.15183906355194116,92,0.12053603415576923,0.136191004925,0.015654970769230763,40,52,0.08020838730314658,0.013382042723113465,0.05
"[{'S_0_1'}, {'SW_1_1'}, {'S_0_1'}, {'SE_1_1'}, {'S_0_1'}, {'S_0_1'}, {'S_0_1'}, {'SW_1_1'}, {'S_0_1'}, {'SW_1_1'}]",0.15015354796678118,108,0.1737875861136364,0.18554747975000002,0.011759893636363632,64,44,0.12784138150968122,0.021919903443765137,0.05
"[{'S_0_1'}, {'S_0_1'}, {'SE_1_1'}, {'SE_1_1'}, {'S_0_1'}, {'S_0_1'}, {'W_1_0'}, {'SW_1_1'}, {'W_1_0'}, {'S_0_1'}]",0.1496072905290755,81,0.09868745686213234,0.11937928670588234,0.02069182984375,17,64,0.03089415867353066,0.0464680233034451,0.05
